,sentence,label
0,"The start of the movie was bad , but overall it was deeply !",1
1,"The start of the movie was worst , but overall it was smart !",1
2,"The start of the movie was dull , but overall it was terrific !",1
3,"The start of the movie was mess , but overall it was rare !",1
4,"The start of the movie was minutes , but overall it was part !",1
5,"The start of the movie was problem , but overall it was performances !",1
6,"The start of the movie was contrived , but overall it was engrossing !",1
7,"The start of the movie was suffers , but overall it was touching !",1
8,"The start of the movie was neither , but overall it was human !",1
9,"The start of the movie was flat , but overall it was spirit !",1
10,"The start of the movie was feels , but overall it was remarkable !",1
11,"The start of the movie was idea , but overall it was cinema !",1
12,"The start of the movie was another , but overall it was best !",1
13,"The start of the movie was fails , but overall it was enjoyable !",1
14,"The start of the movie was reason , but overall it was wonderful !",1
15,"The start of the movie was pretentious , but overall it was beautiful !",1
16,"The start of the movie was thing , but overall it was powerful !",1
17,"The start of the movie was less , but overall it was moving !",1
18,"The start of the movie was none , but overall it was beautifully !",1
19,"The start of the movie was stupid , but overall it was solid !",1
20,"The start of the movie was plot , but overall it was works !",1
21,"The start of the movie was lack , but overall it was fascinating !",1
22,"The start of the movie was comes , but overall it was heart !",1
23,"The start of the movie was mediocre , but overall it was fun !",1
24,"The start of the movie was instead , but overall it was entertaining !",1
25,"I didn't like the bad music of the movie , but the deeply acting was enough to make me enjoy it .",1
26,"I didn't like the worst music of the movie , but the smart acting was enough to make me enjoy it .",1
27,"I didn't like the dull music of the movie , but the terrific acting was enough to make me enjoy it .",1
28,"I didn't like the mess music of the movie , but the rare acting was enough to make me enjoy it .",1
29,"I didn't like the minutes music of the movie , but the part acting was enough to make me enjoy it .",1
30,"I didn't like the problem music of the movie , but the performances acting was enough to make me enjoy it .",1
31,"I didn't like the contrived music of the movie , but the engrossing acting was enough to make me enjoy it .",1
32,"I didn't like the suffers music of the movie , but the touching acting was enough to make me enjoy it .",1
33,"I didn't like the neither music of the movie , but the human acting was enough to make me enjoy it .",1
34,"I didn't like the flat music of the movie , but the spirit acting was enough to make me enjoy it .",1
35,"I didn't like the feels music of the movie , but the remarkable acting was enough to make me enjoy it .",1
36,"I didn't like the idea music of the movie , but the cinema acting was enough to make me enjoy it .",1
37,"I didn't like the another music of the movie , but the best acting was enough to make me enjoy it .",1
38,"I didn't like the fails music of the movie , but the enjoyable acting was enough to make me enjoy it .",1
39,"I didn't like the reason music of the movie , but the wonderful acting was enough to make me enjoy it .",1
40,"I didn't like the pretentious music of the movie , but the beautiful acting was enough to make me enjoy it .",1
41,"I didn't like the thing music of the movie , but the powerful acting was enough to make me enjoy it .",1
42,"I didn't like the less music of the movie , but the moving acting was enough to make me enjoy it .",1
43,"I didn't like the none music of the movie , but the beautifully acting was enough to make me enjoy it .",1
44,"I didn't like the stupid music of the movie , but the solid acting was enough to make me enjoy it .",1
45,"I didn't like the plot music of the movie , but the works acting was enough to make me enjoy it .",1
46,"I didn't like the lack music of the movie , but the fascinating acting was enough to make me enjoy it .",1
47,"I didn't like the comes music of the movie , but the heart acting was enough to make me enjoy it .",1
48,"I didn't like the mediocre music of the movie , but the fun acting was enough to make me enjoy it .",1
49,"I didn't like the instead music of the movie , but the entertaining acting was enough to make me enjoy it .",1
